Model,percent_load,capacity,round_down,power_input,COP,t1,t2,t_leavecondensor
Centravac4.0,100,2989.45,2900,449,6.658017817,12,4,29.4
Centravac4.0,90,2690.505,2600,400.8,6.712836826,11,4,29.4
Centravac4.0,80,2391.56,2300,358,6.680335196,10.4,4,29.4
Centravac4.0,70,2092.615,2000,315.2,6.63900698,9.6,4,29.4
Centravac4.0,60,1793.67,1700,279.7,6.412835181,8.8,4,29.4
Centravac4.0,50,1494.725,1400,243.7,6.133463275,8,4,29.4
Centravac4.0,40,1195.78,1100,212.8,5.619266917,7.2,4,29.4
Centravac4.0,30,896.835,800,181.8,4.933085809,6.4,4,29.4
Centravac4.0,21,659.4375,600,149.8,4.402119493,5.68,4,29.4
Centravac6.7,100,3200.47,3200,445.6,7.182383303,12.2,6.7,29.4
Centravac6.7,90,2880.423,2800,393.8,7.314431183,11.65,6.7,29.4
Centravac6.7,80,2560.376,2500,352.9,7.255245112,11.1,6.7,29.4
Centravac6.7,70,2240.329,2200,314.2,7.130264163,10.55,6.7,29.4
Centravac6.7,60,1920.282,1900,276.9,6.934929577,10,6.7,29.4
Centravac6.7,50,1600.235,1600,242.5,6.598907216,9.45,6.7,29.4
Centravac6.7,40,1280.188,1200,209.4,6.113600764,8.9,6.7,29.4
Centravac6.7,30,960.141,900,177.8,5.40011811,8.35,6.7,29.4
Centravac6.7,20,640.094,600,140.5,4.555829181,7.8,6.7,29.4
Centravac6.7,11,352.0517,300,98.3,3.581400814,7.3,6.7,29.4
